tab 	rmag_anisotropy
er_citation_names	anisotropy_sigma	magic_experiment_names	anisotropy_s6	anisotropy_type	er_site_name	er_sample_name	er_location_name	anisotropy_s5	anisotropy_s4	anisotropy_s3	anisotropy_s2	anisotropy_s1	er_specimen_name	anisotropy_unit	magic_method_codes
This study	105	1.50150:AMS	0.0134	AMS	unknown	unknown	Unknown	-0.04105	-0.1089	1.50970	1.66570	1.50150	unknown	SI	LP-X
This study	0	1.50170:AMS	-0.0865	AMS	unknown	unknown	Unknown	-0.0927	-0.14935	1.61730	1.81010	1.50170	unknown	SI	LP-X
This study	0	1.50910:AMS	0.17965	AMS	unknown	unknown	Unknown	-0.0463	0.13645	1.70120	1.80140	1.50910	unknown	SI	LP-X
This study	105	1.51270:AMS	-0.0578	AMS	unknown	unknown	Unknown	-0.1007	0.01335	1.55010	1.55060	1.51270	unknown	SI	LP-X
This study	130	1.51720:AMS	0.11805	AMS	unknown	unknown	Unknown	-0.0062	-0.0909	1.57750	1.72770	1.51720	unknown	SI	LP-X
This study	105	1.54250:AMS	-0.02865	AMS	unknown	unknown	Unknown	-0.0985	0.0491	1.32910	1.60020	1.54250	unknown	SI	LP-X
This study	0	1.55060:AMS	-0.0532	AMS	unknown	unknown	Unknown	0.09875	-0.0491	1.46060	1.52610	1.55060	unknown	SI	LP-X
This study	130	1.55170:AMS	0.10625	AMS	unknown	unknown	Unknown	-0.07085	-0.2088	1.56700	1.88710	1.55170	unknown	SI	LP-X
This study	0	1.55430:AMS	-0.09735	AMS	unknown	unknown	Unknown	0.01935	-0.12935	1.51720	1.63940	1.55430	unknown	SI	LP-X
This study	0	1.57520:AMS	0.05345	AMS	unknown	unknown	Unknown	0.02885	0.1478	1.65710	1.62440	1.57520	unknown	SI	LP-X
This study	0	1.58530:AMS	0.0673	AMS	unknown	unknown	Unknown	0.03635	0.11085	1.64520	1.80150	1.58530	unknown	SI	LP-X
This study	0	1.59430:AMS	-0.09685	AMS	unknown	unknown	Unknown	0.0931	0.02205	1.69230	1.62410	1.59430	unknown	SI	LP-X
This study	0	1.60030:AMS	0.07995	AMS	unknown	unknown	Unknown	0.0042	0.0795	1.60020	1.79320	1.60030	unknown	SI	LP-X
This study	0	1.60730:AMS	0.01055	AMS	unknown	unknown	Unknown	0.02095	0.0549	1.66320	1.72440	1.60730	unknown	SI	LP-X
This study	0	1.60800:AMS	-0.1114	AMS	unknown	unknown	Unknown	-0.2275	-0.2369	1.60110	1.75120	1.60800	unknown	SI	LP-X
This study	0	1.60800:AMS	-0.0737	AMS	unknown	unknown	Unknown	-0.17625	-0.205	1.48510	1.75580	1.60800	unknown	SI	LP-X
This study	0	1.61720:AMS	-0.09275	AMS	unknown	unknown	Unknown	-0.17355	-0.18195	1.61020	1.60110	1.61720	unknown	SI	LP-X
This study	130	1.61750:AMS	-0.0225	AMS	unknown	unknown	Unknown	-0.0353	-0.15335	1.61720	1.74760	1.61750	unknown	SI	LP-X
This study	0	1.62130:AMS	0.06195	AMS	unknown	unknown	Unknown	0.08265	0.053	1.64930	1.63570	1.62130	unknown	SI	LP-X
This study	130	1.64040:AMS	0.0301	AMS	unknown	unknown	Unknown	-0.0983	-0.04855	1.71030	1.72180	1.64040	unknown	SI	LP-X
This study	130	1.64110:AMS	0.03035	AMS	unknown	unknown	Unknown	-0.04065	-0.01635	1.71010	1.69120	1.64110	unknown	SI	LP-X
This study	0	1.65140:AMS	-0.11885	AMS	unknown	unknown	Unknown	-0.07465	-0.1444	1.50130	1.50190	1.65140	unknown	SI	LP-X
This study	130	1.65730:AMS	0.0472	AMS	unknown	unknown	Unknown	-0.0052	-0.0358	1.63180	1.65170	1.65730	unknown	SI	LP-X
This study	105	1.65750:AMS	-0.18775	AMS	unknown	unknown	Unknown	0.09475	-0.02785	1.55710	1.39990	1.65750	unknown	SI	LP-X
This study	130	1.65750:AMS	0.02455	AMS	unknown	unknown	Unknown	0.02775	-0.03685	1.67390	1.64110	1.65750	unknown	SI	LP-X
This study	130	1.67130:AMS	0.03655	AMS	unknown	unknown	Unknown	0.03875	-0.0349	1.65730	1.71170	1.67130	unknown	SI	LP-X
This study	130	1.67390:AMS	0.06605	AMS	unknown	unknown	Unknown	-0.04825	0.0089	1.67180	1.70670	1.67390	unknown	SI	LP-X
This study	130	1.67390:AMS	-0.0416	AMS	unknown	unknown	Unknown	-0.05055	-0.11975	1.70130	1.80530	1.67390	unknown	SI	LP-X
This study	0	1.67920:AMS	0.11705	AMS	unknown	unknown	Unknown	0.01315	-0.1474	1.61620	1.86210	1.67920	unknown	SI	LP-X
This study	68	1.68210:AMS	0.05325	AMS	unknown	unknown	Unknown	0.02455	0	1.63290	1.75580	1.68210	unknown	SI	LP-X
This study	68	1.69030:AMS	0.07795	AMS	unknown	unknown	Unknown	0.0739	0.04525	1.69030	1.64930	1.69030	unknown	SI	LP-X
This study	115	1.69030:AMS	0.078	AMS	unknown	unknown	Unknown	0.04115	0.12305	1.71480	1.64930	1.69030	unknown	SI	LP-X
This study	68	1.69030:AMS	-0.06145	AMS	unknown	unknown	Unknown	0.01225	-0.1065	1.68210	1.78040	1.69030	unknown	SI	LP-X
This study	0	1.69120:AMS	-0.1401	AMS	unknown	unknown	Unknown	-0.12195	-0.219	1.51410	1.61130	1.69120	unknown	SI	LP-X
This study	130	1.69130:AMS	0.0514	AMS	unknown	unknown	Unknown	-0.02115	-0.03075	1.65750	1.71230	1.69130	unknown	SI	LP-X
This study	0	1.69350:AMS	0.11285	AMS	unknown	unknown	Unknown	-0.08	0.10795	1.81930	1.87900	1.69350	unknown	SI	LP-X
This study	0	1.69720:AMS	-0.0593	AMS	unknown	unknown	Unknown	0.23105	0.0852	1.59940	1.43990	1.69720	unknown	SI	LP-X
This study	68	1.69850:AMS	-0.0082	AMS	unknown	unknown	Unknown	0.05185	0.09845	1.65750	1.69850	1.69850	unknown	SI	LP-X
This study	115	1.69850:AMS	-0.1026	AMS	unknown	unknown	Unknown	-0.0614	0.0534	1.82990	1.73940	1.69850	unknown	SI	LP-X
This study	0	1.69850:AMS	0.0452	AMS	unknown	unknown	Unknown	0.06575	0.0205	1.63250	1.82130	1.69850	unknown	SI	LP-X
This study	0	1.69850:AMS	0.03295	AMS	unknown	unknown	Unknown	0.0166	0.2379	2.04280	1.91180	1.69850	unknown	SI	LP-X
This study	0	1.69920:AMS	0.11355	AMS	unknown	unknown	Unknown	-0.0919	-0.01205	1.67920	1.78120	1.69920	unknown	SI	LP-X
This study	130	1.70130:AMS	-0.0048	AMS	unknown	unknown	Unknown	0.02355	0.0246	1.79080	1.79010	1.70130	unknown	SI	LP-X
This study	68	1.70660:AMS	-0.0655	AMS	unknown	unknown	Unknown	0.0164	-0.04915	1.73940	1.74760	1.70660	unknown	SI	LP-X
This study	68	1.70660:AMS	-0.04915	AMS	unknown	unknown	Unknown	-0.06985	-0.0862	1.69850	1.77260	1.70660	unknown	SI	LP-X
This study	68	1.71480:AMS	-0.01635	AMS	unknown	unknown	Unknown	-0.03685	-0.01635	1.73940	1.73120	1.71480	unknown	SI	LP-X
