tab 	magic_measurements
measurement_temp	er_citation_names	magic_software_packages	measurement_number	measurement_standard	er_site_name	er_sample_name	treatment_temp	magic_instrument_codes	er_location_name	measurement_magn_moment	measurement_flag	magic_experiment_name	measurement_lab_field_dc	er_specimen_name	treatment_dc_field	magic_method_codes	er_scientist_mail_names
273	This study	pmagpy-1.51b	68	u		TC04-15-03	273	SIO-Maud	unknown	7.840e-07	g	TC04-15-03F:LP-HYS	2.330e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	69	u		TC04-15-03	273	SIO-Maud	unknown	7.829e-07	g	TC04-15-03F:LP-HYS	2.289e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	70	u		TC04-15-03	273	SIO-Maud	unknown	7.819e-07	g	TC04-15-03F:LP-HYS	2.250e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	71	u		TC04-15-03	273	SIO-Maud	unknown	7.806e-07	g	TC04-15-03F:LP-HYS	2.209e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	72	u		TC04-15-03	273	SIO-Maud	unknown	7.794e-07	g	TC04-15-03F:LP-HYS	2.170e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	73	u		TC04-15-03	273	SIO-Maud	unknown	7.781e-07	g	TC04-15-03F:LP-HYS	2.130e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	74	u		TC04-15-03	273	SIO-Maud	unknown	7.766e-07	g	TC04-15-03F:LP-HYS	2.090e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	75	u		TC04-15-03	273	SIO-Maud	unknown	7.751e-07	g	TC04-15-03F:LP-HYS	2.050e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	76	u		TC04-15-03	273	SIO-Maud	unknown	7.736e-07	g	TC04-15-03F:LP-HYS	2.009e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	77	u		TC04-15-03	273	SIO-Maud	unknown	7.721e-07	g	TC04-15-03F:LP-HYS	1.969e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	78	u		TC04-15-03	273	SIO-Maud	unknown	7.704e-07	g	TC04-15-03F:LP-HYS	1.929e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	79	u		TC04-15-03	273	SIO-Maud	unknown	7.686e-07	g	TC04-15-03F:LP-HYS	1.889e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	80	u		TC04-15-03	273	SIO-Maud	unknown	7.667e-07	g	TC04-15-03F:LP-HYS	1.849e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	81	u		TC04-15-03	273	SIO-Maud	unknown	7.646e-07	g	TC04-15-03F:LP-HYS	1.810e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	82	u		TC04-15-03	273	SIO-Maud	unknown	7.625e-07	g	TC04-15-03F:LP-HYS	1.770e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	83	u		TC04-15-03	273	SIO-Maud	unknown	7.603e-07	g	TC04-15-03F:LP-HYS	1.729e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	84	u		TC04-15-03	273	SIO-Maud	unknown	7.581e-07	g	TC04-15-03F:LP-HYS	1.689e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	85	u		TC04-15-03	273	SIO-Maud	unknown	7.555e-07	g	TC04-15-03F:LP-HYS	1.650e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	86	u		TC04-15-03	273	SIO-Maud	unknown	7.528e-07	g	TC04-15-03F:LP-HYS	1.610e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	87	u		TC04-15-03	273	SIO-Maud	unknown	7.502e-07	g	TC04-15-03F:LP-HYS	1.569e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	88	u		TC04-15-03	273	SIO-Maud	unknown	7.471e-07	g	TC04-15-03F:LP-HYS	1.529e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	89	u		TC04-15-03	273	SIO-Maud	unknown	7.440e-07	g	TC04-15-03F:LP-HYS	1.489e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	90	u		TC04-15-03	273	SIO-Maud	unknown	7.407e-07	g	TC04-15-03F:LP-HYS	1.449e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	91	u		TC04-15-03	273	SIO-Maud	unknown	7.373e-07	g	TC04-15-03F:LP-HYS	1.409e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	92	u		TC04-15-03	273	SIO-Maud	unknown	7.335e-07	g	TC04-15-03F:LP-HYS	1.369e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	93	u		TC04-15-03	273	SIO-Maud	unknown	7.299e-07	g	TC04-15-03F:LP-HYS	1.329e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	94	u		TC04-15-03	273	SIO-Maud	unknown	7.259e-07	g	TC04-15-03F:LP-HYS	1.289e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	95	u		TC04-15-03	273	SIO-Maud	unknown	7.215e-07	g	TC04-15-03F:LP-HYS	1.249e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	96	u		TC04-15-03	273	SIO-Maud	unknown	7.171e-07	g	TC04-15-03F:LP-HYS	1.209e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	97	u		TC04-15-03	273	SIO-Maud	unknown	7.124e-07	g	TC04-15-03F:LP-HYS	1.169e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	98	u		TC04-15-03	273	SIO-Maud	unknown	7.074e-07	g	TC04-15-03F:LP-HYS	1.129e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	99	u		TC04-15-03	273	SIO-Maud	unknown	7.020e-07	g	TC04-15-03F:LP-HYS	1.089e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	100	u		TC04-15-03	273	SIO-Maud	unknown	6.964e-07	g	TC04-15-03F:LP-HYS	1.050e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	101	u		TC04-15-03	273	SIO-Maud	unknown	6.907e-07	g	TC04-15-03F:LP-HYS	1.010e-01	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	102	u		TC04-15-03	273	SIO-Maud	unknown	6.845e-07	g	TC04-15-03F:LP-HYS	9.694e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	103	u		TC04-15-03	273	SIO-Maud	unknown	6.781e-07	g	TC04-15-03F:LP-HYS	9.293e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	104	u		TC04-15-03	273	SIO-Maud	unknown	6.711e-07	g	TC04-15-03F:LP-HYS	8.893e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	105	u		TC04-15-03	273	SIO-Maud	unknown	6.639e-07	g	TC04-15-03F:LP-HYS	8.493e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	106	u		TC04-15-03	273	SIO-Maud	unknown	6.565e-07	g	TC04-15-03F:LP-HYS	8.093e-02	TC04-15-03F		LP-HYS	
273	This study	pmagpy-1.51b	107	u		TC04-15-03	273	SIO-Maud	unknown	6.484e-07	g	TC04-15-03F:LP-HYS	7.693e-02	TC04-15-03F		LP-HYS	
